country,Total public social protection expenditure and health expenditure (% GDP),Public health care (% GDP),Public social protection (% GDP),year,sanity,ILO social_p cont lin estimation,ILO social_r cont lin estimation,ILO social_p piecewise lin estimation,ILO social_r piecewise lin estimation
São Tomé and Príncipe,4.93,4.19,0.74,2010.0,0,0.02508004725678023,0.016261129401255726,0.05457657813395125,0.11743317923650543
Taiwan,9.68,3.32,6.36,2010.0,0,0.21555283858530036,0.13975781485403568,0.4293046799063892,0.1981636216433652
Tajikistan,6.75,1.79,4.96,2012.0,0,0.16810410053193234,0.10899351598679513,0.36581057776270026,0.1780528352786671
Timor-Leste,4.24,1.64,2.61,2013.0,-0.01,0.08845800451377892,0.05735344288821276,0.19249306612109832,0.14429544388078075
Togo,5.73,3.42,2.31,2010.0,0,0.0782904177880572,0.05076109313094693,0.17036742633706406,0.13998598965977405
Tonga,8.11,7.06,1.05,2005.0,0,0.035586553540026,0.02307322415043042,0.07743973924412002,0.12188628193154571
Trinidad and Tobago,8.96,3.32,5.64,2010.0,0,0.19115063044356823,0.12393617543659767,0.41596202793984466,0.18782093151294899
Tunisia,10.4,1.5,8.91,2011.0,-0.01,0.30197732575393493,0.1957927877907953,0.4511674222248001,0.23479398252192252
Tuvalu,13.36,8.68,4.68,2005.0,0,0.15861435292125875,0.10284065621334701,0.34515998063093495,0.17403067800572747
United Arab Emirates,3.76,1.59,2.16,2011.0,0.01,0.07320662442519635,0.04746491825231401,0.1593046064450469,0.1378312625492707
Uzbekistan,11.16,2.73,8.43,2010.0,0,0.2857091869927802,0.18524502817916993,0.44705208249427575,0.22789885576831193
Vanuatu,5.43,4.68,0.75,2010.0,0,0.025418966814304285,0.016480874393164584,0.055314099460085725,0.11757682771053897
"Venezuela, RB",6.85,1.55,5.3,2010.0,0,0.1796273654877503,0.1164648457116964,0.39088630285127246,0.18293688339580805
Zimbabwe,5.6,4.3,1.3,2011.0,0,0.044059542478127434,0.028566848948151948,0.09587777239748194,0.12547749378238468
